Component Type,Color rendering index,Color temperature,Connector types,Contractor,Cross-section,End 1,End 2,Function,Identifier,"Installation method (mounting plate, DIN rail)",Live/Dead,Load capacity,Luminous flux,Manufacturer,Masked: yes/no,Material,Mounting height,Mounting method,Nominal current,Nominal performance,Number of arms,Number of cards,Operating company/department,Outdoor/Indoor,Owner,Performance,Physical Height,Physical Length,Physical Width,Short-circuit strength,Socket,Type,Lamp Type,Voltage,Warranty,Wheeled (yes/no),Year of installation,Year of manufacture
Power Supply - Lighting - Self-contained emergency lighting systems - Emergency luminaires,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
Power Supply - Cable arrangement - High-voltage systems - Power busbar trunking,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
Power Supply - Grounding and lightning protection - Lightning protection systems - Lightning protection and earthing components,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False
Power Supply - Lighting - General lighting systems - Infrared lamps,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
Power Supply - Power transmission - Low-voltage systems - Electrical protective devices,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True
Power Supply - Cable arrangement - High-voltage systems - Cable ladders,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False
Power Supply - Power transmission - High-voltage systems - Distribution boards,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,True,True,True,True,False,False,False,False,True,False,False,True
Power Supply - Power transmission - Low-voltage distribution systems - Service outlet poles,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,True,False,False,True
Power Supply - Power transmission - Low-voltage distribution systems - Standard socket outlets,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Power Supply - Power transmission - High-voltage systems - Electrical protective devices,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True
Power Supply - Lighting - External lighting systems - Area floodlights,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
Power Supply - Lighting - External lighting systems - Apron elevated lights,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
Power Supply - Power transmission - High-voltage systems - High-voltage cables,False,False,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Power Supply - Power transmission - Uninterruptible power supply systems - Uninterruptible power supply (UPS) units,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True
Power Supply - Lighting - External lighting systems - Control and indicator panels,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
Power Supply - Lighting - External lighting systems - Columns and column accessories,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False
Power Supply - Cable arrangement - Low-voltage systems - Cable protection products,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False
Power Supply - Power transmission - Low-voltage distribution systems - Electric vehicle charging points,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,True,False,False,True
Power Supply - Power transmission - Low-voltage distribution systems - Connection cables,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Power Supply - Power transmission - Sanitary appliance systems - Electric boilers,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True
Power Supply - Lighting - General lighting systems - Lamps,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,False,True
Power Supply - Lighting - Self-contained emergency lighting systems - Control and indicator panels,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,False,False,True
